CountyCode|SourceFactoryCode|SerialNumber|BatchLotNumber|BatchExpiryDate|Manufacturer|ManufacturerDate|ManufacturingSourceCode|LotName|ExpiryDate|Volume|ReactionTarget|ReactionRange
IRE|56788|6574839201|IRE567886574839201|2030-09-11|LUAP|2020-09-11|MSCWPF123|IRE56788LUAP|2020-09-11|10000|32.67|34.78
IRE|56788|6574839202|IRE567886574839202|2030-09-12|LUAP|2020-09-12|MSCWPF124|IRE56788LUAP|2020-09-12|20000|45.78|56.78
IRE|56788|6574839203|IRE567886574839203|2030-09-13|LUAP|2020-09-13|MSCWPF125|IRE56788LUAP|2020-09-13|30000|58.89|78.78
IRE|56788|6574839204|IRE567886574839204|2030-09-14|LUAP|2020-09-14|MSCWPF126|IRE56788LUAP|2020-09-14|40000|72|100.78
IRE|56789|6574839205|IRE567896574839205|2030-09-15|LUAP|2020-09-15|MSCWPF127|IRE56789LUAP|2020-09-15|50000|85.11|122.78
IRE|56789|6574839206|IRE567896574839206|2030-09-16|ERAN|2020-09-16|MSCWPF128|IRE56789ERAN|2020-09-16|60000|98.22|144.78
IRE|56789|6574839207|IRE567896574839207|2030-09-17|ERAN|2020-09-17|MSCWPF129|IRE56789ERAN|2020-09-17|70000|111.33|166.78
IRE|56789|6574839208|IRE567896574839208|2030-09-18|ERAN|2020-09-18|MSCWPF130|IRE56789ERAN|2020-09-18|80000|124.44|188.78
IND|56790|6574839209|IND567906574839209|2030-09-19|ERAN|2020-09-19|MSCWPF131|IND56790ERAN|2020-09-19|90000|137.55|210.78
IND|56790|6574839210|IND567906574839210|2030-09-20|ERAN|2020-09-20|MSCWPF132|IND56790ERAN|2020-09-20|100000|150.66|232.78
IND|56790|6574839211|IND567906574839211|2030-09-21|ERAN|2020-09-21|MSCWPF133|IND56790ERAN|2020-09-21|110000|163.77|254.78
IND|56790|6574839212|IND567906574839212|2030-09-22|ERAN|2020-09-22|MSCWPF134|IND56790ERAN|2020-09-22|120000|176.88|276.78
IND|56790|6574839213|IND567906574839213|2030-09-23|ERAN|2020-09-23|MSCWPF135|IND56790ERAN|2020-09-23|130000|189.99|298.78
IND|56790|6574839214|IND567906574839214|2030-09-24|ERAN|2020-09-24|MSCWPF136|IND56790ERAN|2020-09-24|140000|203.1|320.78
IND|56790|6574839215|IND567906574839215|2030-09-25|ALAK|2020-09-25|MSCWPF137|IND56790ALAK|2020-09-25|150000|216.21|342.78
IND|56790|6574839216|IND567906574839216|2030-09-26|ALAK|2020-09-26|MSCWPF138|IND56790ALAK|2020-09-26|160000|229.32|364.78
IND|56790|6574839217|IND567906574839217|2030-09-27|ALAK|2020-09-27|MSCWPF139|IND56790ALAK|2020-09-27|170000|242.43|386.78
IND|56791|6574839218|IND567916574839218|2030-09-28|ALAK|2020-09-28|MSCWPF140|IND56791ALAK|2020-09-28|180000|255.54|408.78
IND|56791|6574839219|IND567916574839219|2030-09-29|ALAK|2020-09-29|MSCWPF141|IND56791ALAK|2020-09-29|190000|268.65|430.78
IND|56791|6574839220|IND567916574839220|2030-09-30|ALAK|2020-09-30|MSCWPF142|IND56791ALAK|2020-09-30|200000|281.76|452.78
IND|56791|6574839221|IND567916574839221|2030-10-01|UNAM|2020-10-01|MSCWPF143|IND56791UNAM|2020-10-01|210000|294.87|474.78
IND|56791|6574839222|IND567916574839222|2030-10-02|UNAM|2020-10-02|MSCWPF144|IND56791UNAM|2020-10-02|220000|307.98|496.78
IND|56791|6574839223|IND567916574839223|2030-10-03|UNAM|2020-10-03|MSCWPF145|IND56791UNAM|2020-10-03|230000|321.09|518.78
IND|56791|6574839224|IND567916574839224|2030-10-04|UNAM|2020-10-04|MSCWPF146|IND56791UNAM|2020-10-04|240000|334.2|540.78
IND|56791|6574839225|IND567916574839225|2030-10-05|UNAM|2020-10-05|MSCWPF147|IND56791UNAM|2020-10-05|250000|347.31|562.78
